Meter No.,Data Start Time,Data End Time,Active energy import A+(1.8.0)
21102097598,2023-05-19 22:45:00,2023-05-19 23:00:00,0.22
21102097598,2023-05-19 22:30:00,2023-05-19 22:45:00,0.231
21102097598,2023-05-19 22:15:00,2023-05-19 22:30:00,0.298
21102097598,2023-05-19 22:00:00,2023-05-19 22:15:00,0.564
21102097598,2023-05-19 21:45:00,2023-05-19 22:00:00,0.62
21102097598,2023-05-19 21:30:00,2023-05-19 21:45:00,0.612
21102097598,2023-05-19 21:15:00,2023-05-19 21:30:00,0.244
21102097598,2023-05-19 21:00:00,2023-05-19 21:15:00,0.242
21102097598,2023-05-19 20:45:00,2023-05-19 21:00:00,0.23
21102097598,2023-05-19 20:30:00,2023-05-19 20:45:00,0.322
21102097598,2023-05-19 20:15:00,2023-05-19 20:30:00,0.244
21102097598,2023-05-19 20:00:00,2023-05-19 20:15:00,0.088
21102097598,2023-05-19 19:45:00,2023-05-19 20:00:00,0.077
21102097598,2023-05-19 19:30:00,2023-05-19 19:45:00,0.479
21102097598,2023-05-19 19:15:00,2023-05-19 19:30:00,0.856
21102097598,2023-05-19 19:00:00,2023-05-19 19:15:00,1.066
21102097598,2023-05-19 18:45:00,2023-05-19 19:00:00,0.541
21102097598,2023-05-19 18:30:00,2023-05-19 18:45:00,0.522
21102097598,2023-05-19 18:15:00,2023-05-19 18:30:00,0.55
21102097598,2023-05-19 18:00:00,2023-05-19 18:15:00,0.357
21102097598,2023-05-19 17:45:00,2023-05-19 18:00:00,0.304
21102097598,2023-05-19 17:30:00,2023-05-19 17:45:00,0.04
21102097598,2023-05-19 17:15:00,2023-05-19 17:30:00,0.0
21102097598,2023-05-19 17:00:00,2023-05-19 17:15:00,0.0
21102097598,2023-05-19 16:45:00,2023-05-19 17:00:00,0.116
21102097598,2023-05-19 16:30:00,2023-05-19 16:45:00,0.115
21102097598,2023-05-19 16:15:00,2023-05-19 16:30:00,0.0
21102097598,2023-05-19 16:00:00,2023-05-19 16:15:00,0.0
21102097598,2023-05-19 15:45:00,2023-05-19 16:00:00,0.0
21102097598,2023-05-19 15:30:00,2023-05-19 15:45:00,0.0
21102097598,2023-05-19 15:15:00,2023-05-19 15:30:00,0.001
21102097598,2023-05-19 15:00:00,2023-05-19 15:15:00,0.0
21102097598,2023-05-19 14:45:00,2023-05-19 15:00:00,0.033
21102097598,2023-05-19 14:30:00,2023-05-19 14:45:00,0.0
21102097598,2023-05-19 14:15:00,2023-05-19 14:30:00,0.0
21102097598,2023-05-19 14:00:00,2023-05-19 14:15:00,0.0
21102097598,2023-05-19 13:45:00,2023-05-19 14:00:00,0.013
21102097598,2023-05-19 13:30:00,2023-05-19 13:45:00,0.0
21102097598,2023-05-19 13:15:00,2023-05-19 13:30:00,0.011
21102097598,2023-05-19 13:00:00,2023-05-19 13:15:00,0.002
21102097598,2023-05-19 12:45:00,2023-05-19 13:00:00,0.009
21102097598,2023-05-19 12:30:00,2023-05-19 12:45:00,0.243
21102097598,2023-05-19 12:15:00,2023-05-19 12:30:00,0.302
21102097598,2023-05-19 12:00:00,2023-05-19 12:15:00,0.013
21102097598,2023-05-19 11:45:00,2023-05-19 12:00:00,0.436
21102097598,2023-05-19 11:30:00,2023-05-19 11:45:00,0.786
21102097598,2023-05-19 11:15:00,2023-05-19 11:30:00,0.447
21102097598,2023-05-19 11:00:00,2023-05-19 11:15:00,0.002
21102097598,2023-05-19 10:45:00,2023-05-19 11:00:00,0.0
21102097598,2023-05-19 10:30:00,2023-05-19 10:45:00,0.0
21102097598,2023-05-19 10:15:00,2023-05-19 10:30:00,0.0
21102097598,2023-05-19 10:00:00,2023-05-19 10:15:00,0.0
21102097598,2023-05-19 09:45:00,2023-05-19 10:00:00,0.013
21102097598,2023-05-19 09:30:00,2023-05-19 09:45:00,0.001
21102097598,2023-05-19 09:15:00,2023-05-19 09:30:00,0.059
21102097598,2023-05-19 09:00:00,2023-05-19 09:15:00,0.114
21102097598,2023-05-19 08:45:00,2023-05-19 09:00:00,0.098
21102097598,2023-05-19 08:30:00,2023-05-19 08:45:00,0.086
21102097598,2023-05-19 08:15:00,2023-05-19 08:30:00,0.163
21102097598,2023-05-19 08:00:00,2023-05-19 08:15:00,0.063
21102097598,2023-05-19 07:45:00,2023-05-19 08:00:00,0.107
21102097598,2023-05-19 07:30:00,2023-05-19 07:45:00,0.107
21102097598,2023-05-19 07:15:00,2023-05-19 07:30:00,0.096
21102097598,2023-05-19 07:00:00,2023-05-19 07:15:00,0.13
21102097598,2023-05-19 06:45:00,2023-05-19 07:00:00,0.191
21102097598,2023-05-19 06:30:00,2023-05-19 06:45:00,0.206
21102097598,2023-05-19 06:15:00,2023-05-19 06:30:00,0.249
21102097598,2023-05-19 06:00:00,2023-05-19 06:15:00,0.153
21102097598,2023-05-19 05:45:00,2023-05-19 06:00:00,0.166
21102097598,2023-05-19 05:30:00,2023-05-19 05:45:00,0.186
21102097598,2023-05-19 05:15:00,2023-05-19 05:30:00,0.188
21102097598,2023-05-19 05:00:00,2023-05-19 05:15:00,0.168
21102097598,2023-05-19 04:45:00,2023-05-19 05:00:00,0.149
21102097598,2023-05-19 04:30:00,2023-05-19 04:45:00,0.158
21102097598,2023-05-19 04:15:00,2023-05-19 04:30:00,0.156
21102097598,2023-05-19 04:00:00,2023-05-19 04:15:00,0.143
21102097598,2023-05-19 03:45:00,2023-05-19 04:00:00,0.165
21102097598,2023-05-19 03:30:00,2023-05-19 03:45:00,0.166
21102097598,2023-05-19 03:15:00,2023-05-19 03:30:00,0.197
21102097598,2023-05-19 03:00:00,2023-05-19 03:15:00,0.187
21102097598,2023-05-19 02:45:00,2023-05-19 03:00:00,0.195
21102097598,2023-05-19 02:30:00,2023-05-19 02:45:00,0.166
21102097598,2023-05-19 02:15:00,2023-05-19 02:30:00,0.15
21102097598,2023-05-19 02:00:00,2023-05-19 02:15:00,0.184
21102097598,2023-05-19 01:45:00,2023-05-19 02:00:00,0.172
21102097598,2023-05-19 01:30:00,2023-05-19 01:45:00,0.17
21102097598,2023-05-19 01:15:00,2023-05-19 01:30:00,0.163
21102097598,2023-05-19 01:00:00,2023-05-19 01:15:00,0.167
21102097598,2023-05-19 00:45:00,2023-05-19 01:00:00,0.166
21102097598,2023-05-19 00:30:00,2023-05-19 00:45:00,0.168
21102097598,2023-05-19 00:15:00,2023-05-19 00:30:00,0.177
21102097598,2023-05-19 00:00:00,2023-05-19 00:15:00,0.135
21102097598,2023-05-18 23:45:00,2023-05-19 00:00:00,0.149
21102097598,2023-05-18 23:30:00,2023-05-18 23:45:00,0.161
21102097598,2023-05-18 23:15:00,2023-05-18 23:30:00,0.161
21102097598,2023-05-18 23:00:00,2023-05-18 23:15:00,0.154
21102097598,2023-05-18 22:45:00,2023-05-18 23:00:00,0.171
21102097598,2023-05-18 22:30:00,2023-05-18 22:45:00,0.21
21102097598,2023-05-18 22:15:00,2023-05-18 22:30:00,0.187
21102097598,2023-05-18 22:00:00,2023-05-18 22:15:00,0.223
21102097598,2023-05-18 21:45:00,2023-05-18 22:00:00,0.169
21102097598,2023-05-18 21:30:00,2023-05-18 21:45:00,0.199
21102097598,2023-05-18 21:15:00,2023-05-18 21:30:00,0.192
21102097598,2023-05-18 21:00:00,2023-05-18 21:15:00,0.182
21102097598,2023-05-18 20:45:00,2023-05-18 21:00:00,0.183
21102097598,2023-05-18 20:30:00,2023-05-18 20:45:00,0.187
21102097598,2023-05-18 20:15:00,2023-05-18 20:30:00,0.188
21102097598,2023-05-18 20:00:00,2023-05-18 20:15:00,0.143
21102097598,2023-05-18 19:45:00,2023-05-18 20:00:00,0.091
21102097598,2023-05-18 19:30:00,2023-05-18 19:45:00,0.052
21102097598,2023-05-18 19:15:00,2023-05-18 19:30:00,0.084
21102097598,2023-05-18 19:00:00,2023-05-18 19:15:00,0.092
21102097598,2023-05-18 18:45:00,2023-05-18 19:00:00,0.007
21102097598,2023-05-18 18:30:00,2023-05-18 18:45:00,0.052
21102097598,2023-05-18 18:15:00,2023-05-18 18:30:00,0.01
21102097598,2023-05-18 18:00:00,2023-05-18 18:15:00,0.0
21102097598,2023-05-18 17:45:00,2023-05-18 18:00:00,0.0
21102097598,2023-05-18 17:30:00,2023-05-18 17:45:00,0.0
21102097598,2023-05-18 17:15:00,2023-05-18 17:30:00,0.0
21102097598,2023-05-18 17:00:00,2023-05-18 17:15:00,0.0
21102097598,2023-05-18 16:45:00,2023-05-18 17:00:00,0.0
21102097598,2023-05-18 16:30:00,2023-05-18 16:45:00,0.0
21102097598,2023-05-18 16:15:00,2023-05-18 16:30:00,0.0
21102097598,2023-05-18 16:00:00,2023-05-18 16:15:00,0.0
21102097598,2023-05-18 15:45:00,2023-05-18 16:00:00,0.0
21102097598,2023-05-18 15:30:00,2023-05-18 15:45:00,0.013
21102097598,2023-05-18 15:15:00,2023-05-18 15:30:00,0.0
21102097598,2023-05-18 15:00:00,2023-05-18 15:15:00,0.0
21102097598,2023-05-18 14:45:00,2023-05-18 15:00:00,0.015
21102097598,2023-05-18 14:30:00,2023-05-18 14:45:00,0.0
21102097598,2023-05-18 14:15:00,2023-05-18 14:30:00,0.036
21102097598,2023-05-18 14:00:00,2023-05-18 14:15:00,0.005
21102097598,2023-05-18 13:45:00,2023-05-18 14:00:00,0.012
21102097598,2023-05-18 13:30:00,2023-05-18 13:45:00,0.024
21102097598,2023-05-18 13:15:00,2023-05-18 13:30:00,0.021
21102097598,2023-05-18 13:00:00,2023-05-18 13:15:00,0.037
21102097598,2023-05-18 12:45:00,2023-05-18 13:00:00,0.093
21102097598,2023-05-18 12:30:00,2023-05-18 12:45:00,0.023
21102097598,2023-05-18 12:15:00,2023-05-18 12:30:00,0.031
21102097598,2023-05-18 12:00:00,2023-05-18 12:15:00,0.0
21102097598,2023-05-18 11:45:00,2023-05-18 12:00:00,0.104
21102097598,2023-05-18 11:30:00,2023-05-18 11:45:00,0.385
21102097598,2023-05-18 11:15:00,2023-05-18 11:30:00,0.121
21102097598,2023-05-18 11:00:00,2023-05-18 11:15:00,0.172
21102097598,2023-05-18 10:45:00,2023-05-18 11:00:00,0.156
21102097598,2023-05-18 10:30:00,2023-05-18 10:45:00,0.135
21102097598,2023-05-18 10:15:00,2023-05-18 10:30:00,0.116
21102097598,2023-05-18 10:00:00,2023-05-18 10:15:00,0.132
21102097598,2023-05-18 09:45:00,2023-05-18 10:00:00,0.184
21102097598,2023-05-18 09:30:00,2023-05-18 09:45:00,0.183
21102097598,2023-05-18 09:15:00,2023-05-18 09:30:00,0.209
21102097598,2023-05-18 09:00:00,2023-05-18 09:15:00,0.196
21102097598,2023-05-18 08:45:00,2023-05-18 09:00:00,0.232
21102097598,2023-05-18 08:30:00,2023-05-18 08:45:00,0.218
21102097598,2023-05-18 08:15:00,2023-05-18 08:30:00,0.328
21102097598,2023-05-18 08:00:00,2023-05-18 08:15:00,0.236
21102097598,2023-05-18 07:45:00,2023-05-18 08:00:00,0.149
21102097598,2023-05-18 07:30:00,2023-05-18 07:45:00,0.373
21102097598,2023-05-18 07:15:00,2023-05-18 07:30:00,0.23
21102097598,2023-05-18 05:30:00,2023-05-18 07:15:00,0.123
21102097598,2023-05-18 05:15:00,2023-05-18 05:30:00,0.008
21102097598,2023-05-18 05:00:00,2023-05-18 05:15:00,0.127
21102097598,2023-05-18 04:45:00,2023-05-18 05:00:00,0.114
21102097598,2023-05-18 04:30:00,2023-05-18 04:45:00,0.092
21102097598,2023-05-18 04:15:00,2023-05-18 04:30:00,0.075
21102097598,2023-05-18 04:00:00,2023-05-18 04:15:00,0.108
21102097598,2023-05-18 03:45:00,2023-05-18 04:00:00,0.103
21102097598,2023-05-18 03:30:00,2023-05-18 03:45:00,0.094
21102097598,2023-05-18 03:15:00,2023-05-18 03:30:00,0.081
21102097598,2023-05-18 03:00:00,2023-05-18 03:15:00,0.093
21102097598,2023-05-18 02:45:00,2023-05-18 03:00:00,0.128
